brand, product_name, price
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GT 710 1GB| DDR5| 64 Bits - GV-N710D5-1GI,R$ 27047
Asus,Placa de Video VGA Asus NVIDIA GeForce RTX 2080 Dual OC 8GB| GDDR6| 256 Bits - DUAL-RTX2080-O8G,R$ 5.76459
Pny,Placa de Video VGA PNY NVIDIA GeForce GTX 1050 Ti 4GB GDDR5 128Bits - VCGGTX1050T4PB,R$ 1.06576
MSI,Placa de Video VGA MSI NVIDIA GeForce GTX 1060 6GT OCV1 6GB| GDDR5| 192Bits| 8008Mhz| DVI| HDMI| DP,R$ 1.75282
Powercolor,Placa de Video VGA Powercolor AMD Radeon RX 580 8GB GDDR5 - AXRX 580 8GBD5-3DH/OC,R$ 2.11753
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1050 Ti OC Low Profile 4GB| GDDR5| 128 Bits - GV-N105TOC-4GL,R$ 1.09400
Evga,Placa de Video VGA EVGA NVIDIA GeForce GTX 1060 3GB| 192Bits| GDDR5 - 03G-P4-6160-KR,R$ 1.67988
MSI,Placa de Video VGA MSI NVIDIA GeForce GTX 1050 2GB OC GDDR5 128Bits DVI/HDMI/DP - 912-V809-2287,R$ 92929
Evga,Placa de Video VGA EVGA NVIDIA GeForce RTX 2080 Ti XC Ultra Gaming 11GB| GDDR6| 352 Bits - 11G-P4-2383-KR,R$ 10.72929
Evga,Placa de Video VGA EVGA NVIDIA GeForce RTX 2080 XC Gaming 8GB| GDDR6| 256 Bits| PCI-E 3.0 - 08G-P4-2182-KR,R$ 6.69400
Asus,Placa de Video VGA Asus AMD Radeon RX 580 OC Edition 4GB| GDDR5| 256 Bits - DUAL-RX580-O4G,R$ 1.60694
Evga,Placa de Video VGA EVGA NVIDIA GeForce RTX 2080 Ti XC Gaming 11GB| GDDR6| 352 Bits - 11G-P4-2382-KR,R$ 8.94106
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1050 Ti OC 4GB| GDDR5| 128 Bits - GV-N105TWF2OC-4GD,R$ 1.17635
Gigabyte,Placa de Video VGA Gigabyte NVIDIA GeForce GTX 1050 OC 3GB| GDDR5| 96 Bits - GV-N1050OC-3GD,R$ 96459
XFX,Placa de Video VGA XFX AMD Radeon RX 580 OC+ GTS XXX Edition 4GB| GDDR5| 256 Bits - RX-580P4DFD6,R$ 1.88223
PCYes,Placa de Video VGA PCYes NVIDIA GeForce GT 210 1GB DDR2 64Bits com Kit Low Profile Incluso - PPV210GT6401D2LP,R$ 19988
Zotac,Placa de Video VGA Zotac NVIDIA GeForce GT 730 LP 4GB DDR3 64Bits - ZT-71115-20L - ESP,R$ 57635
PCYes,Placa de Video VGA PCYes NVIDIA GeForce 9800 1GB DDR3 - PJ980025601D3,R$ 37635
ASRock,Placa de Video VGA ASRock AMD Radeon RX 580 Phantom Gaming OC 8GB| GDDR5| 256 Bits - 90-GA0000-00UANF,R$ 1.91753
Zotac,Placa de Video VGA Zotac NVIDIA GeForce GTX 1050 Ti Low Profile - ZT-P10510E-10L,R$ 1.16990
Asus,Placa de Video VGA Asus AMD Radeon RX 560 AREZ EVO 4GB| GDDR5| 128 Bits - AREZ-RX560-O4G-EVO,R$ 1.14812
Asus,Placa de Video VGA Asus NVIDIA GeForce GTX 1050 3GB| GDDR5| 96 bits - PH-GTX1050-3G,R$ 1.17400
Zotac,Placa de Video VGA Zotac NVIDIA GeForce RTX 2080 Blower 8GB| GDDR6| 256 bits - ZT-T20800A-10P,R$ 5.28929
XFX,Placa de Video VGA XFX  AMD Radeon RX 560D 4GB DDR5 1196Mhz Core DP RX-560D4SFG5,R$ 95282
Asus,Placa de Video VGA Asus AMD Radeon RX VEGA 56 8GB HBM2 - ROG-STRIX-RXVEGA56-O,R$ 4.17635
Asus,Placa de Video VGA Asus NVIDIA GeForce GTX 1060 3GB| GDDR5| 192 Bits - PH-GTX1060-3G 90YV0A64-M0NA00,R$ 1.85490
